,timestamp,customer_no,name,location
0,2019-09-02 07:02:00,1,Karen Bryant DDS,entrance
1,2019-09-02 07:02:00,2,Barry Kelley,entrance
2,2019-09-02 07:03:00,1,Karen Bryant DDS,fruit
3,2019-09-02 07:03:00,2,Barry Kelley,dairy
4,2019-09-02 07:03:00,3,Stephen Walker DVM,entrance
5,2019-09-02 07:03:00,4,Olivia Vaughn,entrance
6,2019-09-02 07:03:00,5,Laurie Thompson,entrance
7,2019-09-02 07:03:00,6,Megan Cisneros,entrance
8,2019-09-02 07:03:00,7,Christopher Hamilton,entrance
9,2019-09-02 07:03:00,8,David Smith,entrance
10,2019-09-02 07:04:00,1,Karen Bryant DDS,fruit
11,2019-09-02 07:04:00,2,Barry Kelley,dairy
12,2019-09-02 07:04:00,3,Stephen Walker DVM,dairy
13,2019-09-02 07:04:00,4,Olivia Vaughn,drinks
14,2019-09-02 07:04:00,5,Laurie Thompson,fruit
15,2019-09-02 07:04:00,6,Megan Cisneros,fruit
16,2019-09-02 07:04:00,7,Christopher Hamilton,fruit
17,2019-09-02 07:04:00,8,David Smith,dairy
18,2019-09-02 07:05:00,1,Karen Bryant DDS,fruit
19,2019-09-02 07:05:00,2,Barry Kelley,dairy
20,2019-09-02 07:05:00,3,Stephen Walker DVM,dairy
21,2019-09-02 07:05:00,4,Olivia Vaughn,drinks
22,2019-09-02 07:05:00,5,Laurie Thompson,checkout
23,2019-09-02 07:05:00,7,Christopher Hamilton,fruit
24,2019-09-02 07:05:00,8,David Smith,dairy
25,2019-09-02 07:05:00,9,Erica Miller,entrance
26,2019-09-02 07:05:00,10,Rachel Bauer,entrance
27,2019-09-02 07:05:00,11,Alexandria Gentry,entrance
28,2019-09-02 07:05:00,12,Christopher Harris,entrance
29,2019-09-02 07:05:00,13,Matthew Wheeler,entrance
30,2019-09-02 07:05:00,14,Ian King,entrance
31,2019-09-02 07:06:00,1,Karen Bryant DDS,dairy
32,2019-09-02 07:06:00,2,Barry Kelley,checkout
33,2019-09-02 07:06:00,4,Olivia Vaughn,drinks
34,2019-09-02 07:06:00,6,Megan Cisneros,checkout
35,2019-09-02 07:06:00,8,David Smith,dairy
36,2019-09-02 07:06:00,9,Erica Miller,fruit
37,2019-09-02 07:06:00,10,Rachel Bauer,dairy
38,2019-09-02 07:06:00,11,Alexandria Gentry,spices
39,2019-09-02 07:06:00,12,Christopher Harris,dairy
40,2019-09-02 07:06:00,13,Matthew Wheeler,fruit
41,2019-09-02 07:06:00,14,Ian King,spices
42,2019-09-02 07:06:00,15,Stacy Gardner,entrance
43,2019-09-02 07:06:00,16,Roger Williams,entrance
44,2019-09-02 07:07:00,1,Karen Bryant DDS,dairy
45,2019-09-02 07:07:00,3,Stephen Walker DVM,checkout
46,2019-09-02 07:07:00,7,Christopher Hamilton,dairy
47,2019-09-02 07:07:00,8,David Smith,fruit
48,2019-09-02 07:07:00,9,Erica Miller,fruit
49,2019-09-02 07:07:00,10,Rachel Bauer,dairy
50,2019-09-02 07:07:00,11,Alexandria Gentry,dairy
51,2019-09-02 07:07:00,12,Christopher Harris,dairy
52,2019-09-02 07:07:00,13,Matthew Wheeler,checkout
53,2019-09-02 07:07:00,15,Stacy Gardner,fruit
54,2019-09-02 07:07:00,16,Roger Williams,dairy
55,2019-09-02 07:08:00,1,Karen Bryant DDS,dairy
56,2019-09-02 07:08:00,4,Olivia Vaughn,drinks
57,2019-09-02 07:08:00,7,Christopher Hamilton,checkout
58,2019-09-02 07:08:00,9,Erica Miller,drinks
59,2019-09-02 07:08:00,10,Rachel Bauer,drinks
60,2019-09-02 07:08:00,11,Alexandria Gentry,dairy
61,2019-09-02 07:08:00,12,Christopher Harris,dairy
62,2019-09-02 07:08:00,14,Ian King,spices
63,2019-09-02 07:08:00,15,Stacy Gardner,fruit
64,2019-09-02 07:08:00,16,Roger Williams,dairy
65,2019-09-02 07:09:00,1,Karen Bryant DDS,dairy
66,2019-09-02 07:09:00,4,Olivia Vaughn,drinks
67,2019-09-02 07:09:00,8,David Smith,drinks
68,2019-09-02 07:09:00,9,Erica Miller,drinks
69,2019-09-02 07:09:00,10,Rachel Bauer,checkout
70,2019-09-02 07:09:00,12,Christopher Harris,checkout
71,2019-09-02 07:09:00,15,Stacy Gardner,fruit
72,2019-09-02 07:09:00,16,Roger Williams,dairy
73,2019-09-02 07:10:00,1,Karen Bryant DDS,dairy
74,2019-09-02 07:10:00,4,Olivia Vaughn,drinks
75,2019-09-02 07:10:00,8,David Smith,drinks
76,2019-09-02 07:10:00,9,Erica Miller,drinks
77,2019-09-02 07:10:00,11,Alexandria Gentry,dairy
78,2019-09-02 07:10:00,14,Ian King,dairy
79,2019-09-02 07:10:00,15,Stacy Gardner,fruit
80,2019-09-02 07:10:00,16,Roger Williams,dairy
81,2019-09-02 07:10:00,17,Karen Adams,entrance
82,2019-09-02 07:11:00,1,Karen Bryant DDS,checkout
83,2019-09-02 07:11:00,8,David Smith,drinks
84,2019-09-02 07:11:00,9,Erica Miller,checkout
85,2019-09-02 07:11:00,14,Ian King,checkout
86,2019-09-02 07:11:00,16,Roger Williams,dairy
87,2019-09-02 07:11:00,17,Karen Adams,fruit
88,2019-09-02 07:11:00,18,Kim Houston,entrance
89,2019-09-02 07:11:00,19,Amy Richardson,entrance
90,2019-09-02 07:11:00,20,Laura Pugh,entrance
91,2019-09-02 07:12:00,4,Olivia Vaughn,drinks
92,2019-09-02 07:12:00,8,David Smith,checkout
93,2019-09-02 07:12:00,15,Stacy Gardner,fruit
94,2019-09-02 07:12:00,16,Roger Williams,spices
95,2019-09-02 07:12:00,17,Karen Adams,checkout
96,2019-09-02 07:12:00,19,Amy Richardson,fruit
97,2019-09-02 07:12:00,20,Laura Pugh,fruit
98,2019-09-02 07:12:00,21,Cody Johnson,entrance
99,2019-09-02 07:12:00,22,Mike Klein,entrance
100,2019-09-02 07:13:00,4,Olivia Vaughn,drinks
101,2019-09-02 07:13:00,11,Alexandria Gentry,dairy
102,2019-09-02 07:13:00,15,Stacy Gardner,fruit
103,2019-09-02 07:13:00,16,Roger Williams,dairy
